index,date,to_currency,from_currency,rate
0,2002-01-01 00:00:00,USD,EUR,1.2493498699631258
1,2002-01-02 00:00:00,USD,EUR,1.2449495126523047
2,2002-01-03 00:00:00,USD,EUR,1.228248851921201
3,2002-01-04 00:00:00,USD,EUR,1.2309792637680672
4,2002-01-07 00:00:00,USD,EUR,1.235926559581224
5,2002-01-08 00:00:00,USD,EUR,1.2338161667574452
6,2002-01-09 00:00:00,USD,EUR,1.2198698842641087
7,2002-01-10 00:00:00,USD,EUR,1.2520101826412031
8,2002-01-11 00:00:00,USD,EUR,1.23932212479366
9,2002-01-14 00:00:00,USD,EUR,1.240054955283875
10,2002-01-15 00:00:00,USD,EUR,1.2744368426058863
11,2002-01-16 00:00:00,USD,EUR,1.2854326352248036
12,2002-01-17 00:00:00,USD,EUR,1.235759167793825
13,2002-01-18 00:00:00,USD,EUR,1.2645860563590203
14,2002-01-21 00:00:00,USD,EUR,1.2432158292309
15,2002-01-22 00:00:00,USD,EUR,1.2112490722984048
16,2002-01-23 00:00:00,USD,EUR,1.2627390336755724
17,2002-01-24 00:00:00,USD,EUR,1.254837222645981
18,2002-01-25 00:00:00,USD,EUR,1.2230015274417512
19,2002-01-28 00:00:00,USD,EUR,1.2583196100713996
20,2002-01-29 00:00:00,USD,EUR,1.2302829366987829
21,2002-01-30 00:00:00,USD,EUR,1.2696946590555491
22,2002-01-31 00:00:00,USD,EUR,1.2332039079923045
23,2002-02-01 00:00:00,USD,EUR,1.2219041046923789
24,2002-02-04 00:00:00,USD,EUR,1.2493242825447266
25,2002-02-05 00:00:00,USD,EUR,1.2458402527010874
26,2002-02-06 00:00:00,USD,EUR,1.2363359138948185
27,2002-02-07 00:00:00,USD,EUR,1.2641846616358934
28,2002-02-08 00:00:00,USD,EUR,1.246025564145551
29,2002-02-11 00:00:00,USD,EUR,1.2556055756340458
30,2002-02-12 00:00:00,USD,EUR,1.2493551555838245
31,2002-02-13 00:00:00,USD,EUR,1.2480973276483431
32,2002-02-14 00:00:00,USD,EUR,1.2504614429208114
33,2002-02-15 00:00:00,USD,EUR,1.26293558172961
34,2002-02-18 00:00:00,USD,EUR,1.2288067868355326
35,2002-02-19 00:00:00,USD,EUR,1.2640765429226972
36,2002-02-20 00:00:00,USD,EUR,1.2413986326332913
37,2002-02-21 00:00:00,USD,EUR,1.2700162102307702
38,2002-02-22 00:00:00,USD,EUR,1.2620244427329943
39,2002-02-25 00:00:00,USD,EUR,1.2516136590888791
40,2002-02-26 00:00:00,USD,EUR,1.2535088444609233
41,2002-02-27 00:00:00,USD,EUR,1.2432520539835836
42,2002-02-28 00:00:00,USD,EUR,1.206511209503992
43,2002-03-01 00:00:00,USD,EUR,1.249295798430354
44,2002-03-04 00:00:00,USD,EUR,1.2173850863969358
45,2002-03-05 00:00:00,USD,EUR,1.217504808413902
46,2002-03-06 00:00:00,USD,EUR,1.267242646272268
47,2002-03-07 00:00:00,USD,EUR,1.2589822182262638
48,2002-03-08 00:00:00,USD,EUR,1.2249456364926312
49,2002-03-11 00:00:00,USD,EUR,1.2861610506931294
50,2002-03-12 00:00:00,USD,EUR,1.2654559050329588
51,2002-03-13 00:00:00,USD,EUR,1.243403352020651
52,2002-03-14 00:00:00,USD,EUR,1.2520192368291696
53,2002-03-15 00:00:00,USD,EUR,1.280792685440252
54,2002-03-18 00:00:00,USD,EUR,1.2635803019734413
55,2002-03-19 00:00:00,USD,EUR,1.242057771025329
56,2002-03-20 00:00:00,USD,EUR,1.2163984087871516
57,2002-03-21 00:00:00,USD,EUR,1.2397946240018516
58,2002-03-22 00:00:00,USD,EUR,1.2604038720878163
59,2002-03-25 00:00:00,USD,EUR,1.2013416277360378
60,2002-03-26 00:00:00,USD,EUR,1.2463794996952329
61,2002-03-27 00:00:00,USD,EUR,1.2860150919388729
62,2002-03-28 00:00:00,USD,EUR,1.263563293125333
63,2002-03-29 00:00:00,USD,EUR,1.2304314946584702
64,2002-04-01 00:00:00,USD,EUR,1.252904583501357
65,2002-04-02 00:00:00,USD,EUR,1.226142697847507
66,2002-04-03 00:00:00,USD,EUR,1.2982131620345343
67,2002-04-04 00:00:00,USD,EUR,1.230333451271502
68,2002-04-05 00:00:00,USD,EUR,1.214527157549932
69,2002-04-08 00:00:00,USD,EUR,1.2474612745098583
70,2002-04-09 00:00:00,USD,EUR,1.285379062870721
71,2002-04-10 00:00:00,USD,EUR,1.2657776862726164
72,2002-04-11 00:00:00,USD,EUR,1.23793502858223
73,2002-04-12 00:00:00,USD,EUR,1.1884218606707777
74,2002-04-15 00:00:00,USD,EUR,1.2844170966656987
75,2002-04-16 00:00:00,USD,EUR,1.2530741785474944
76,2002-04-17 00:00:00,USD,EUR,1.2751903514959555
77,2002-04-18 00:00:00,USD,EUR,1.2596198753877257
78,2002-04-19 00:00:00,USD,EUR,1.247070503571893
79,2002-04-22 00:00:00,USD,EUR,1.2265550947048216
80,2002-04-23 00:00:00,USD,EUR,1.260720311550376
81,2002-04-24 00:00:00,USD,EUR,1.2536781249535416
82,2002-04-25 00:00:00,USD,EUR,1.2673120339482242
83,2002-04-26 00:00:00,USD,EUR,1.2418763775080268
84,2002-04-29 00:00:00,USD,EUR,1.2665969211762618
85,2002-04-30 00:00:00,USD,EUR,1.2786467670002637
86,2002-05-01 00:00:00,USD,EUR,1.266482758998515
87,2002-05-02 00:00:00,USD,EUR,1.2173744684636514
88,2002-05-03 00:00:00,USD,EUR,1.2785342094099252
89,2002-05-06 00:00:00,USD,EUR,1.1824417827798066
90,2002-05-07 00:00:00,USD,EUR,1.2547583675421334
91,2002-05-08 00:00:00,USD,EUR,1.265300640404032
92,2002-05-09 00:00:00,USD,EUR,1.2497838596066586
93,2002-05-10 00:00:00,USD,EUR,1.2621036182753584
94,2002-05-13 00:00:00,USD,EUR,1.2636106671170526
95,2002-05-14 00:00:00,USD,EUR,1.2617943652112735
96,2002-05-15 00:00:00,USD,EUR,1.2563565810486657
97,2002-05-16 00:00:00,USD,EUR,1.2505120215599803
98,2002-05-17 00:00:00,USD,EUR,1.2503101131125094
99,2002-05-20 00:00:00,USD,EUR,1.2541850052973544
100,2002-05-21 00:00:00,USD,EUR,1.2632763639540368
101,2002-05-22 00:00:00,USD,EUR,1.225775618931667
102,2002-05-23 00:00:00,USD,EUR,1.241926223919841
103,2002-05-24 00:00:00,USD,EUR,1.30229772963641
104,2002-05-27 00:00:00,USD,EUR,1.2620628463815995
105,2002-05-28 00:00:00,USD,EUR,1.253320408421278
106,2002-05-29 00:00:00,USD,EUR,1.2894448855517595
107,2002-05-30 00:00:00,USD,EUR,1.2425295855331888
108,2002-05-31 00:00:00,USD,EUR,1.2787848773718906
109,2002-06-03 00:00:00,USD,EUR,1.2763534642750558
110,2002-06-04 00:00:00,USD,EUR,1.27806583407458
111,2002-06-05 00:00:00,USD,EUR,1.2342111944044598
112,2002-06-06 00:00:00,USD,EUR,1.218939429986088
113,2002-06-07 00:00:00,USD,EUR,1.2223929800471969
114,2002-06-10 00:00:00,USD,EUR,1.262557164813627
115,2002-06-11 00:00:00,USD,EUR,1.2355373506890612
116,2002-06-12 00:00:00,USD,EUR,1.2191724265509396
117,2002-06-13 00:00:00,USD,EUR,1.254147482858214
118,2002-06-14 00:00:00,USD,EUR,1.2211017950807477
